run_id,patch_id,P,v,h,x_norm,y_norm,signed_distance_to_boundary,T_peak,cooling_rate,zone_label,local_grain_size
2,2_0000,220,2000,0.05,0.5479120971119267,0.4388784397520523,0.6504150812388678,1488.9888895794866,433209.00607996364,2,30.43659913857339
2,2_0001,220,2000,0.05,0.5222794039807059,0.7860643052769538,0.3294872838425231,1319.6568095615628,603022.545702753,1,22.58275348796929
2,2_0002,220,2000,0.05,0.2877302401613291,0.82276161327083,0.46315474746195817,1371.7229548642267,607879.4826315544,1,21.521039535405567
2,2_0003,220,2000,0.05,0.6552623439851641,0.6316643991220648,0.369015048019142,1348.658291641147,525312.1038710395,1,22.629985054738505
2,2_0004,220,2000,0.05,0.5567669941475237,0.19463870785196757,0.6857684759327066,1526.3085053452783,296051.3876199947,2,35.17481087045437
2,2_0005,220,2000,0.05,0.48952431181563427,0.96750973243421,0.047812015770756,1189.3881830462287,722698.2100750718,2,23.233475002392012
2,2_0006,220,2000,0.05,-0.7401569893290567,0.47570492622593374,0.3816586848184135,1359.006324225508,472698.45038761955,1,24.485904990433507
2,2_0007,220,2000,0.05,0.6645196027904021,0.8047643574968019,0.13244346588259492,1251.1172063421068,653511.6040947217,1,18.75581986256914
2,2_0008,220,2000,0.05,-0.6001835950497834,0.007362269751005512,0.5582944368139013,1499.3019684885444,220477.4557108834,0,41.46405822084482
2,2_0009,220,2000,0.05,-0.08216844892332009,0.5687411959528937,0.8526311141711123,1523.6691014210085,489006.3127840235,1,30.57141199214027
2,2_0010,220,2000,0.05,0.13047221296237765,0.7649988574160256,0.6158852049113964,1426.0150201311658,592635.3548440587,1,26.17270137618591
2,2_0011,220,2000,0.05,-0.9383643308641212,0.43671738923236236,0.07121856464947396,1288.6799285445754,467410.7516536015,2,23.312057559118447
2,2_0012,220,2000,0.05,-0.883394516621868,0.28138389202199654,0.2182508772363977,1344.4702547115107,392676.56536871387,1,22.94836299634292
2,2_0013,220,2000,0.05,0.3286270806547751,0.4063868614400705,0.8581539298449901,1559.7229568240862,364139.5189142032,2,35.17349633071485
2,2_0014,220,2000,0.05,0.4447187011929006,0.4618772302513874,0.7400910751497849,1493.2185618682038,417179.389985269,1,29.336147291026478
2,2_0015,220,2000,0.05,-0.1076874488519386,0.3810212260964825,0.9646434663869922,1582.4366998629864,352451.90219141403,0,42.9994041106166
2,2_0016,220,2000,0.05,-0.7639881957589694,0.9618976645495145,-0.28512887646465535,1091.7726580258977,751352.1388140217,1,17.556940711503827
2,2_0017,220,2000,0.05,0.5575018079315892,0.7168901891589956,0.38748038642578075,1329.9189589497462,575588.3047795672,1,21.946361213513935
2,2_0018,220,2000,0.05,-0.08844742033277786,0.20236336479523032,0.9890362247518647,1629.5675477586424,267032.77196907427,0,44.36143826582626
2,2_0019,220,2000,0.05,0.5170390596704202,0.7194629559509368,0.4276249816952782,1366.9867131063288,577406.0227164094,1,22.554891055178683
2,2_0020,220,2000,0.05,-0.8311113577202218,0.41580740217060963,0.2712025690413681,1348.423944583441,467967.19568597677,1,22.940147471145973
2,2_0021,220,2000,0.05,-0.7931940645548967,0.587644572177712,0.213052370250979,1290.2559502715224,513985.5302356475,1,19.066780093731694
2,2_0022,220,2000,0.05,0.1818309829628335,0.022803871029697498,0.8954937828817036,1580.2702335949796,161540.97560252756,0,47.983853051390426
2,2_0023,220,2000,0.05,-0.026683338323679306,0.4907069943545209,0.9190944255719077,1570.086398293145,393653.2922194324,2,36.51003414763574
2,2_0024,220,2000,0.05,-0.33686200531489563,0.5206724024715378,0.7851211527527855,1499.0697791856942,439008.2682321626,1,29.169423331299413
2,2_0025,220,2000,0.05,-0.7195018220027785,0.5540361435390494,0.3543752920404295,1323.0533560953772,491854.3843840151,1,25.75621857005479
2,2_0026,220,2000,0.05,0.537294983835314,0.10774094595589656,0.6833035280858619,1515.2414093445611,221841.24484102157,0,42.338787679713946
2,2_0027,220,2000,0.05,-0.2581554322751225,0.8297897431324132,0.4680877503071912,1380.0257275063543,610027.5529737469,1,23.569135040673256
